author,title,subtitle preview,published date,min read time,collection,claps,responses
Samuel Q Yang,"How I Built Doppel, my First Mobile App: Part 3",,Apr 19,7 min read,Python In Plain English,2,
Manthan B Y,Zero to Hero in Python in 30 days: Day 17: Sets,,Apr 19,4 min read,Python In Plain English,102,
Michael Van Den Reym,Listing 404 Pages Indexed by Google Using Python,,Apr 18,2 min read,Python In Plain English,3,1 response
Manthan B Y,Zero to Hero in Python in 30 days: Day 15: List Methods,,Apr 17,4 min read,Python In Plain English,102,
Kelvin Tan,Circuit Breaker: 12 Days In,,Apr 18,3 min read,Python In Plain English,,
Di(Candice) Han,Slicing data in Pandas Python — most commonly used techniques to slice and subset real-life data,,Apr 18,3 min read,Python In Plain English,1,
Ashwat Mahendran,Hierarchical Clustering using Python,,Apr 17,3 min read,Python In Plain English,1,
Mehak Alamgir,Data Science Trends,,Apr 18,6 min read,Python In Plain English,,
Borna Ahmadzadeh,Blue Book for Bulldozers Competition Part 3 — Feature Selection,Removing redundant features — A Kaggle…,Apr 20,10 min read,Python In Plain English,,
Karthikeyan Mohanraj,Apache SPARK using Jupyter in LINUX : Installation and Setup,,Apr 14,3 min read,Python In Plain English,162,
Somayyeh Gholami,Build a “Smart Blockchain” in Python,"Introduction: In this article, we are going to implement a simple…",Apr 15,14 min read,Python In Plain English,219,1 response
Manthan B Y,Zero to Hero in Python in 30 days: Day 11: Strings Part I,,Apr 13,5 min read,Python In Plain English,164,
Manthan B Y,Understanding Python Data Model: A Simple Introduction,,Apr 13,3 min read,Python In Plain English,8,
Shawon Ashraf,What is collocation?,“You shall know a word by the company it keeps”,Apr 16,6 min read,Python In Plain English,6,
Book Lailert,Estimating WiFi signal strength (in an area with obstacles) in Python,,Apr 16,8 min read,Python In Plain English,,
Dhaneswara Mandrasa,COVID-19: This Is Why Some Countries Suffer More Than Others,,Apr 16,6 min read,Python In Plain English,21,
Manthan B Y,Zero to Hero in Python in 30 days: Day 10: Functions Part II,,Apr 12,4 min read,Python In Plain English,158,
Prabod Dunuwila,Python Data Structure Basics - III,"In the last 2 articles, I explained you about Lists and…",Apr 13,3 min read,Python In Plain English,50,
Valentina Alto,Visualizing dynamic phenomena with SIR model and Networks,An implementation with Python,Apr 14,5 min read,Python In Plain English,80,
Book Lailert,Estimating WiFi signal strength (in an area with obstacles) in Python,,Apr 15,4 min read,Python In Plain English,2,
Di(Candice) Han,Preprocessing GDP data from World Bank and visualize the trend,,Apr 15,3 min read,Python In Plain English,1,
Manthan B Y,Zero to Hero in Python in 30 days: Day 13: String Methods,,Apr 15,4 min read,Python In Plain English,64,
Manthan B Y,Zero to Hero in Python in 30 days: Day 12: Strings Part II,,Apr 14,5 min read,Python In Plain English,113,
NotSoCoolCoder,Output Formatting with Python,,Apr 14,2 min read,Python In Plain English,4,
Valentina Alto,Introduction to Network science with NetworkX,,Apr 11,6 min read,Python In Plain English,137,
Valentina Alto,Introduction to Network science with NetworkX,,Apr 11,7 min read,Python In Plain English,151,1 response
Carlos Miragall,How Covid-19 has been spreading in the different Spanish regions,,Apr 11,6 min read,Python In Plain English,9,
Divyanshi Bhamri,Performance Testing with Locust (Part 2),,Apr 11,3 min read,Python In Plain English,183,1 response
Thomas Neder,Simulating the Coronavirus Epidemic in Switzerland with a realistic model,,Apr 11,9 min read,Python In Plain English,,
Manthan B Y,"Zero to Hero in Python in 30 days: Day 8: Taking input from the user, type() function",,Apr 10,5 min read,Python In Plain English,200,
Ahad Arif,A brief overview of Python,,Apr 10,5 min read,Python In Plain English,12,
Anastasia Gorina,Analyzing data with and without programming skills,,Apr 11,6 min read,Python In Plain English,170,
Manthan B Y,Zero to Hero in Python in 30 days: Day 6: Flow Control Part I,Flow control means controlling the flow…,Apr 8,6 min read,Python In Plain English,108,
Surabhi Tulshyan,Learn Python on Jupyter Notebook,,Apr 11,3 min read,Python In Plain English,18,
Steven Curtis,Build your first Python Application without a PC,,Apr 11,3 min read,Python In Plain English,,
Jeppe Klitgaard,Fitting experimental data to a model in Python,,Apr 11,4 min read,Python In Plain English,,
Jeppe Klitgaard,Quantifying ‘The Curve’,,Apr 11,4 min read,Python In Plain English,,
Josh Hodgkinson,3 Simple Steps to Your First Computer Vision Project,,Apr 11,5 min read,Python In Plain English,,
Maanav Garg,Send Emails Using Python,,Apr 8,2 min read,Python In Plain English,,
Prabod Dunuwila,Python Data Structure Basics - II,In the last article I explained you about Lists in python. In this…,Apr 9,3 min read,Python In Plain English,1,
Manthan B Y,Zero to Hero in Python in 30 days: Day 7: Flow Control Part II,,Apr 9,5 min read,Python In Plain English,203,
Emmett Boudreau,Level Up Your Python Dictionaries,,Apr 6,5 min read,Python In Plain English,329,4 responses
Carlos Miragall,Is the Covid-19 curve really flattening in Spain?,,Apr 6,5 min read,Python In Plain English,3,
Manthan B Y,Zero to Hero in Python in 30 days: Day 3: Operators Part I,,Apr 5,8 min read,Python In Plain English,197,
